airline_sentiment,text
neutral,phone line call isnt affected bad weather trying book vacation
positive,bag finally delivered intact thanks assistance
positive,thanks kevin team phl great service recovery tonight appreciate
negative,yes talked fll says central central says fll go im betting go mths
negative,really big bad thing
negative,disappointment today simply put rather unpleased things currently flight delayed cant wait get home
positive,maybe return trip
positive,thank course safety always well make sure handle care love
neutral,trueblue site broken moment
negative,yes filed yesterday around noon claim number havent contacted yet
negative,see report team
neutral,offer group pricing discounts chance
negative,cant book flight prn website
negative,going let gate bos time soon sittin tarmac waiting
negative,iah ewr broken entertainment system wifi despite info app
neutral,flight get chicago
neutral,thanks book flight uk using reading exchange theres way ive sent
neutral,wife booked last minute flights funeral separately would like seats dm confs
negative,trying charge bucks lowered award tickets want get hard earn points back total bs
neutral,email address page
neutral,fleets fleek wtf
negative,ive hold hour well customer service department weak
negative,understand busy still gotten answer need get home guys helped
neutral,traveling infant lap anything need notify
negative,prepared claim bag lost many valuables carry hands
negative,bag still missing
neutral,need follow back order dm
negative,policy changed must advise time purchase choose vary airport want full refund
positive,flight attendant regains karma giving big sweaty dad cold water guy running amp carrying daughter last one onboard
positive,cutest salt pepper shaker ever think guys cant get better
neutral,old fly ordpvg get upgraded
positive,course inflight crew great
negative,yes like need luggage tomorrow morning
negative,flt cancelled flighted rescheduled bad time tried website states cant onlineuseless website help
negative,words sorry sorry plenty airlines travel lot
positive,loved natural beefjerky snacks
negative,every channel supposed watch scandal free flyfi sweet
negative,haha clean plane held overnight hangar sounds lovely also dont lie screensand say weather
negative,thanks asked change cost desition nade computer late flight
positive,incredible view smooth flight ways even tho turbulence pilots rock
negative,flight dfw lit way pdx tomorrow cancelled flighted help
positive,know thanks evaluate chairman
negative,tried doesnt help much reservation seems overwhelmed issues
positive,sounds like fun
negative,group got cancelled flightlation fees waived cant ticket booked reps help either
neutral,hello husband bought us trip last night amp noticed last name misspelled thanks
positive,thank
negative,tried twice today hold min time things cant live hold dealing customer serv failures
negative,worst airline cancelled flight flight dont let know wait hold mins told enter callback middle night
negative,poor customer service thru cxl flights shouldve flew
neutral,sitting seat flight back vegas chicago someone left folder looks important seat pocket
negative,lga already time pulled flight qqbmug feel free look many flights weve reticketed
negative,yes couldnt explain hour minute hold time
negative,respond friend cant respond directly
neutral,im shutting data flight want response time land hours
negative,one four flights trip time hell companies problem
negative,thanks miss dog delay costing lot money
negative,youre almost bad
negative,area pic taken dont see albums
negative,airline joke person working special services ewr line ppl deep grow
negative,parents flight frm cancelled flighted whens next one
negative,second day amp attempt trying leave iad amp im another plane delayed mechanical issues hour delayed
negative,jfk la dirty plane standards
neutral,chocolate flight please melting
neutral,yes party
negative,unfortunately startled rushed didnt get name provide description expanded email thank
negative,everytime fly ur airline hate even thanks terrible service flight
positive,well done xx
negative,delayed hours one hour flight frustrating im also unable get decent meal hournever
neutral,hi question re future flight booking problems dubjac jaclax laxdub im checked bag allowance jaclax
negative,supposed arrive destination tonight american rebooks wednesday staying
negative,nice know hours time worth free directtv everyone ever hear preventative maintenance
neutral,hello wondering long might take turkish airlines flights show united miles thanks
neutral,mexico international us
negative,hah best flight attendant response happy getting screwed carriers hahahah pathetic
negative,tells talk delayed flights aa tells talk us ihatemergers
negative,last week also maintenance issues flat tire another flight last week cancelled flighted track record worst
negative,lost faithful customer
negative,always happens guys makes traveling incredibly stressful uncomfortable good business
negative,question flight took friend stuck needlessly another city
negative,would die got tickets destinationdragons would invited funeral
negative,every time united flight got delayed big frustration
negative,thank blowing vacation couldnt get anywhere today make reservation also lost bags mine
negative,keep thinking massive practical joke someone gonna appear thin air take reno tonight
negative,bag sos itis lost hours poorcustumerservice
positive,provides best logistics experience people india mumbai surat navimumbai
negative,think little weak sauce zero inflight entertainment hour flight salt lake philadelphia
negative,hell put us hotel youve stranded us message says mechanical issues weather usairways
negative,one app still shows time
negative,rebooked different airport throwing wrench plans
negative,cancelled flight flight advance need connect flight reschedule link isnt helping help gf waited months see
negative,hour plus delay washingtondc finally flight edinburgh tired
positive,great experience flight sfo jfk seats service food everything top quality back soon
neutral,hi know pastor homeschool mom might like spirited em contact
positive,thanks agent boarding atlaus left wallet inbound found
negative,please find bag singapore three days already without bag last known destination lax tag please help
neutral,ha ha make break either way
neutral,fleets fleek
negative,leave ord time week shameful
negative,sitting tarmac ord visibly gates open reassign gate
positive,thank reply fill form submit requested good know youre paying attention
neutral,give tickets atlanta would anything anything
neutral,hi know already delayed tonight thanks
neutral,got zero vouchers hotel cab expect serious mileage credits
neutral,also united phone representative asked web password normal
negative,hi janet customer service im calling back sitting que mins plz pick frustrated
negative,messed refuse wait min united fault delay leave early absolutely disgusting
negative,ive waiting bag iah theyre freaking people flight waiting bags fix
neutral,im flying miboston icelandair iceland hours check bags way
negative,realize customer service leaves much desired folks handling calls could care lessand shows
negative,day late flightr one delayed amp one cancelled flightled flight im gate seat assign lots standby ppl also waiting
positive,thank help resolving problem shannon rocks even though rhonda didnt
negative,todays flight palm springs ca jfk ny cancelled flightled
negative,letting san fran media rate whats deal looks like last time fly anywhere
neutral,even international flight glasgow us orlando newark mins
negative,dm details back started phone number reach reply either online phone
negative,ok noone help bag lost honeymoon ago responsible professional
neutral,see several economy plus put us dont seated together
negative,problem flight gainesville us airways clt miss connecting flight iad get another flight
negative,crew one helping
negative,doesnt help passengers arrived hour late flight
positive,bring back jackson ms miss terribly around airlines horrible
positive,thanks sending kid destinationdragons concert vegas awesome
negative,premier gold desk changes flight waives fees gives wrong flight jana acosta salt lake refuses service angry
neutral,apply ur credit card automatically get companion certificate wait
negative,look made right call cho please evaluate
negative,rescheduled return flight japan uh trying call unitedairlines customerservice min wait fun
neutral,ok tx tell guy sitting next gate
negative,read day travel change policy
negative,alas pretty full entertain witty repartee
negative,rebooked missed flightnever called didnt check email cont
negative,never mind could told gate way could delay mins
negative,absolutely missed connection caused us miss ferry vieques get us vieques also flight vouchers prbound
negative,really acceptable informed plane wont start chartering bus take passengers jfk
negative,worst major us airline proof theyre boarding plane outside galley door open degree weather wtf
neutral,delays tonights flight dfw sat family members board
neutral,special assistance travel alone kids infant priority boarding
neutral,iiiii need help flight schedule haha
negative,spoken like im idiot ok dont need deal esp travel experience ive
negative,guys really bad fail someone better call wife back get handled waits hold
neutral,yesterday flight wanted chicago sale within points range today isnt way guys still honor
negative,amazing cant get cold air vents noair worstflightever roasted sfotobos
positive,im booked tuesday night degrees alabama right im good stay warm safe
negative,understood simply feels staff entirely truthful situation
negative,whenever cheat goes horribly wrong promise wont stray anymore im talking
negative,yrs flying continentalunited exclusively get everyone hates getmeoffrhisfuckinplane
positive,thanks prompt response another hour enjoy vacation perhaps bug app still shows
neutral,would fly somewhere hotter puerto rico come lol
neutral,blaming jet blue wasnt weather cant planes air runways mess thats disaster waiting happen
positive,yup know fault ideal sittin hour always staff great
negative,sure looks like ill make birthday celebration
negative,thats okyou may keep lose bag info longer trust bad way handle
negative,meetings california luggage
positive,thank ill next time
neutral,flights lie flat seating stl pdx around date march
positive,incidentally sheila jfk deserves raise shes awesome
negative,hoping spare ac tomorrow ship board sched aircraft delayed previous flts
negative,yep sent bag philadelphia instead miamii caught itthen told flight changed tomorrow wrong fail
positive,thanks taking back home today despite pandoras best efforts cancelled flight flight jetblue backhome noplacelikehome
negative,thanks making worst flying experience ever different planes mechanical issues hours counting
negative,airline ive spent three extra days traveling domestic spent hundreds dollars
neutral,sector whereby says bagsno bag allowance international flight
neutral,got time reply share thoughts greater detail via web form
neutral,sent suggestion comments via link provided
negative,standby far two us snow storm hitting iowa tomorrow could stuck two days
negative,bet dont im paying customer know check flight delays thank
neutral,flight want book one day went purchase next day amp price doubled inquiring chance may go
negative,hello remaining credits account refunded back credit card choose lower price flight
neutral,aircraft closest gate flight one closest gate going chicago
neutral,get status update flight going make home tonight
